timestamp,script,rows,read_ms,sort_ms,write_ms,verify_ms,e_ms,total_ms,skipped_blank,skipped_missing,skipped_badjson,unique_planets,top_planet
2025-10-12 21:00:49,run.py,12,0.38,0.01,1.51,2.65,1.34,5.93,0,0,0,4,mars
2025-10-12 21:01:09,run.py,12,0.65,0.01,1.35,3.47,0.93,6.46,0,0,0,4,mars
2025-10-12 21:01:12,run.py,12,0.47,0.01,1.00,3.68,1.04,6.24,0,0,0,4,mars
2025-10-12 21:02:39,run.py,12,0.52,0.01,1.40,3.18,1.08,6.29,0,0,0,4,mars
2025-10-12 21:02:42,run.py,12,0.47,0.01,1.45,3.21,0.81,6.01,0,0,0,4,mars
2025-10-14 14:34:40,run.py,12,10.17,0.00,1.23,8.80,0.32,20.55,0,0,0,4,mars
2025-10-14 15:20:06,run.py,12,0.16,0.00,1.04,2.68,0.34,4.24,0,0,0,4,mars
2025-10-15 09:07:25,run.py,12,1.56,0.01,0.90,2.27,1.26,6.10,0,0,0,4,mars
2025-10-15 09:07:29,run.py,12,0.36,0.01,0.69,4.27,0.91,6.27,0,0,0,4,mars
2025-10-15 09:07:36,run.py,12,0.38,0.01,1.46,2.42,1.20,5.51,0,0,0,4,mars
2025-10-17 17:17:06,run.py,12,12.03,0.00,1.11,5.82,0.58,19.57,0,0,0,4,mars
2025-10-17 17:17:35,run.py,12,0.19,0.00,0.35,2.54,0.35,3.44,0,0,0,4,mars
2025-10-17 17:31:28,run.py,12,0.16,0.00,0.28,2.07,0.39,2.91,0,0,0,4,mars
2025-10-18 13:47:19,run.py,12,19.97,0.01,1.83,15.68,1.22,38.76,0,0,0,4,mars
2025-10-18 13:47:59,run.py,12,0.86,0.01,1.25,3.11,0.83,6.10,0,0,0,4,mars
2025-10-18 13:48:01,run.py,12,0.45,0.01,1.17,3.00,0.98,5.67,0,0,0,4,mars
2025-10-18 13:48:03,run.py,12,0.47,0.01,1.33,3.08,0.66,5.58,0,0,0,4,mars
2025-10-18 13:48:04,run.py,12,0.40,0.01,1.08,3.25,0.68,5.46,0,0,0,4,mars
